rsspeed,userPower,ridingDuration,ridingDistance,ascent,calories,heartRate,cadence,averageSpeed
4.858369587749378,20.0,4.402240991592407,18.949322219378008,9.36709457720923,0.5417828559875488,79.0,45.0,0.0
4.886853169996104,20.0,4.402240991592407,18.949322219378008,9.36709457720923,0.5417828559875488,79.0,45.0,0.0
4.886853169996104,20.0,4.499898970127106,18.949322219378008,9.36709457720923,0.5417828559875488,79.0,45.0,0.0
4.886853169996104,20.0,4.499898970127106,18.949322219378008,9.36709457720923,0.5417828559875488,79.0,45.0,0.0
4.886853169996104,20.0,4.499898970127106,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.499898970127106,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.499898970127106,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5464134812355042,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.916622141542066,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.945623439893249,20.0,4.601963996887207,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.945623439893249,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.945623439893249,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.945623439893249,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5512261390686035,79.0,45.0,0.0
4.945623439893249,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,45.0,0.0
4.945623439893249,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.701397001743317,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5558900237083435,79.0,52.0,0.0
4.975867197133018,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.804781973361969,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5607134103775024,79.0,52.0,0.0
5.0053196544935465,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,4.8969810009002686,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.0392398576497515,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5649951100349426,80.0,52.0,0.0
5.068032966164963,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.003166019916534,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5699008703231812,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5740476250648499,80.0,52.0,0.0
5.068032966164963,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5740476250648499,80.0,32.0,0.0
5.094497551645231,20.0,5.093300998210907,18.949322219378008,9.36709457720923,0.5740476250648499,80.0,32.0,0.0
